City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,sorong,-0.8833,131.25,26.73,83,100,3.15,ID,1742427448
1,kruisfontein,-34.0033,24.7314,23.33,38,0,2.33,ZA,1742427449
2,ushuaia,-54.8,-68.3,7.81,76,75,12.86,AR,1742427373
3,mafinga,-7.25,35.0667,17.97,95,83,0.97,TZ,1742427452
4,vilhena,-12.7406,-60.1458,22.12,100,75,4.12,BR,1742427453
5,al hawatah,13.4167,34.6333,30.07,16,14,3.84,SD,1742427454
6,novaya tavolzhanka,50.3512,36.8298,1.65,87,70,3.03,RU,1742427455
7,adamstown,-25.066,-130.1015,24.83,73,100,1.83,PN,1742427456
8,paphos,34.7667,32.4167,11.88,50,68,2.57,CY,1742427458
9,whitehorse,60.7161,-135.0538,3.34,64,40,4.63,CA,1742427459
10,touros,-5.1989,-35.4608,26.54,75,5,5.08,BR,1742427460
11,tiksi,71.6872,128.8694,-22.2,98,88,0.75,RU,1742427461
12,la'ie,21.6477,-157.9253,25.98,83,100,2.68,US,1742427463
13,ulladulla,-35.35,150.4667,27.65,52,42,3.81,AU,1742427464
14,grytviken,-54.2811,-36.5092,3.51,86,22,2.21,GS,1742427465
15,arak,34.0917,49.6892,10.73,46,2,3.48,IR,1742427466
16,trincomalee,8.5711,81.2335,28.28,73,18,5.87,LK,1742427467
17,san jose,37.3394,-121.895,17.98,55,75,6.17,US,1742427258
18,moussoro,13.6408,16.4901,28.47,12,7,4.96,TD,1742427469
19,illizi,26.4833,8.4667,24.65,17,46,2.06,DZ,1742427470
20,longyearbyen,78.2186,15.6401,-16.09,66,20,5.66,SJ,1742427472
21,vorgashor,67.5833,63.95,-9.68,84,100,6.89,RU,1742427473
22,el sauzal de rodriguez,31.9,-116.6833,17.34,51,0,3.06,MX,1742427474
23,utrik,11.2278,169.8474,26.82,76,54,9.59,MH,1742427475
24,buka,40.8108,69.1986,14.57,26,0,0.57,UZ,1742427476
25,la passe,45.5549,-0.8967,10.85,82,14,8.82,FR,1742427477
26,port-aux-francais,-49.35,70.2167,6.19,79,97,13.36,TF,1742427478
27,kodiak,57.79,-152.4072,3.73,70,75,5.66,US,1742427480
28,invercargill,-46.4,168.35,18.34,68,6,1.79,NZ,1742427481
29,puerto natales,-51.7236,-72.4875,7.79,76,69,6.57,CL,1742427482
